"dep";"annee";"tauxPatients"
"01";2017;185,73
"02";2017;198,12
"03";2017;193,71
"04";2017;200,37
"05";2017;201,41
"06";2017;204,77
"07";2017;187,79
"08";2017;199,64
"09";2017;185,57
"10";2017;181,56
"11";2017;197,73
"12";2017;180,46
"13";2017;215,92
"14";2017;185,31
"15";2017;190,56
"16";2017;178,7
"17";2017;192,05
"18";2017;179,38
"19";2017;181,28
"21";2017;188,65
"22";2017;188,53
"23";2017;189,93
"24";2017;187,29
"25";2017;178,55
"26";2017;187,75
"27";2017;190,36
"28";2017;180,57
"29";2017;191,24
"2A";2017;194,17
"2B";2017;191,93
"30";2017;192,78
"31";2017;200,03
"32";2017;193,2
"33";2017;206,28
"34";2017;205,25
"35";2017;171,89
"36";2017;177,42
"37";2017;183,8
"38";2017;192,15
"39";2017;184,22
"40";2017;196,51
"41";2017;176,51
"42";2017;199,57
"43";2017;195,84
"44";2017;197,24
"45";2017;181,15
"46";2017;189,01
"47";2017;192,65
"48";2017;185,51
"49";2017;190,57
"50";2017;177,57
"51";2017;187,7
"52";2017;192,96
"53";2017;180,34
"54";2017;198,21
"55";2017;205,79
"56";2017;185,13
"57";2017;190,49
"58";2017;180,05
"59";2017;213,26
"60";2017;192,09
"61";2017;189,6
"62";2017;205,15
"63";2017;183,91
"64";2017;191,18
"65";2017;192,48
"66";2017;191,01
"67";2017;197,16
"68";2017;183,31
"69";2017;193,7
"70";2017;199,48
"71";2017;189
"72";2017;192,58
"73";2017;187,29
"74";2017;179,28
"75";2017;177,02
"76";2017;196,01
"77";2017;187,99
"78";2017;186,61
"79";2017;185,25
"80";2017;197,67
"81";2017;190,87
"82";2017;206,05
"83";2017;212,25
"84";2017;200,15
"85";2017;192,9
"86";2017;186,94
"87";2017;178,73
"88";2017;196,59
"89";2017;189,84
"90";2017;175,22
"91";2017;190,19
"92";2017;180,17
"93";2017;192,51
"94";2017;183,92
"95";2017;193,16
"971";2017;140,93
"972";2017;155,48
"973";2017;162,02
"974";2017;184,13
"976";2017;62,82
"977";2017;132,05
"978";2017;138,27
"00";2017;189,78
"01";2018;185,76
"02";2018;196,63
"03";2018;193,11
"04";2018;205,68
"05";2018;206,77
"06";2018;205,92
"07";2018;189,25
"08";2018;194,27
"09";2018;186,6
"10";2018;180,01
"11";2018;197,96
"12";2018;179,15
"13";2018;217,3
"14";2018;187,91
"15";2018;194,89
"16";2018;182,25
"17";2018;192,11
"18";2018;182,37
"19";2018;183,33
"21";2018;189,95
"22";2018;189,43
"23";2018;191,94
"24";2018;189,56
"25";2018;181,2
"26";2018;187
"27";2018;190,48
"28";2018;181,16
"29";2018;191,12
"2A";2018;194,82
"2B";2018;189,44
"30";2018;193,59
"31";2018;201,59
"32";2018;195,05
"33";2018;207,58
"34";2018;205,76
"35";2018;175,53
"36";2018;182,63
"37";2018;184,86
"38";2018;194,17
"39";2018;188,16
"40";2018;197,7
"41";2018;176,58
"42";2018;204,27
"43";2018;199,91
"44";2018;197,2
"45";2018;181,86
"46";2018;192,25
"47";2018;194,46
"48";2018;181,64
"49";2018;190,98
"50";2018;181,33
"51";2018;183,89
"52";2018;192,71
"53";2018;181,41
"54";2018;200,03
"55";2018;209,4
"56";2018;185,29
"57";2018;189,62
"58";2018;182,22
"59";2018;213,75
"60";2018;190,89
"61";2018;191,08
"62";2018;206,25
"63";2018;187,57
"64";2018;192,68
"65";2018;189,99
"66";2018;191,96
"67";2018;199,32
"68";2018;183,69
"69";2018;193,69
"70";2018;197,51
"71";2018;192,81
"72";2018;195,4
"73";2018;189,59
"74";2018;180,73
"75";2018;180,4
"76";2018;197,49
"77";2018;186,61
"78";2018;186,53
"79";2018;184,06
"80";2018;196,02
"81";2018;192,03
"82";2018;200,3
"83";2018;213,02
"84";2018;201,01
"85";2018;193,49
"86";2018;189,08
"87";2018;181,24
"88";2018;199,15
"89";2018;191,99
"90";2018;180,51
"91";2018;189,17
"92";2018;180,47
"93";2018;192,64
"94";2018;184,62
"95";2018;191,59
"971";2018;168,2
"972";2018;157,37
"973";2018;174,09
"974";2018;181,88
"976";2018;65,47
"977";2018;149,64
"978";2018;143,74
"00";2018;190,8
"01";2019;186,89
"02";2019;199,7
"03";2019;196,93
"04";2019;203,85
"05";2019;210,36
"06";2019;207,82
"07";2019;193,4
"08";2019;199,07
"09";2019;187,41
"10";2019;184,18
"11";2019;199,85
"12";2019;181,71
"13";2019;219,93
"14";2019;189,2
"15";2019;192,66
"16";2019;186
"17";2019;194,25
"18";2019;184,79
"19";2019;184,74
"21";2019;190,24
"22";2019;194,25
"23";2019;190,8
"24";2019;191,09
"25";2019;181,72
"26";2019;186,17
"27";2019;190,59
"28";2019;185,77
"29";2019;192,72
"2A";2019;192,22
"2B";2019;194,53
"30";2019;195,48
"31";2019;201,65
"32";2019;194,03
"33";2019;207,21
"34";2019;208,04
"35";2019;175,15
"36";2019;181
"37";2019;183,5
"38";2019;193,69
"39";2019;185,91
"40";2019;203,07
"41";2019;175,27
