CODREG;REG;CODDEP;CODCAN;CAN;NBCOM;PMUN;PTOT
84;Auvergne-Rhône-Alpes;01;01;Ambérieu-en-Bugey;18;30427;31182
84;Auvergne-Rhône-Alpes;01;02;Attignat;18;25096;25624
84;Auvergne-Rhône-Alpes;01;03;Valserhône;12;21964;22421
84;Auvergne-Rhône-Alpes;01;04;Belley;33;25254;25972
84;Auvergne-Rhône-Alpes;01;05;Bourg-en-Bresse-1;2;35499;36719
84;Auvergne-Rhône-Alpes;01;06;Bourg-en-Bresse-2;4;26242;27316
84;Auvergne-Rhône-Alpes;01;07;Ceyzériat;22;26400;27013
84;Auvergne-Rhône-Alpes;01;08;Châtillon-sur-Chalaronne;26;30612;31363
84;Auvergne-Rhône-Alpes;01;09;Gex;7;32689;33459
84;Auvergne-Rhône-Alpes;01;10;Plateau d’Hauteville;28;21993;22508
84;Auvergne-Rhône-Alpes;01;11;Lagnieu;25;34473;35194
84;Auvergne-Rhône-Alpes;01;12;Meximieux;15;33867;34385
84;Auvergne-Rhône-Alpes;01;13;Miribel;8;29581;30114
84;Auvergne-Rhône-Alpes;01;14;Nantua;17;21579;22375
84;Auvergne-Rhône-Alpes;01;15;Oyonnax;2;25607;26151
84;Auvergne-Rhône-Alpes;01;16;Pont-d'Ain;24;22073;22586
84;Auvergne-Rhône-Alpes;01;17;Replonges;31;31201;31884
84;Auvergne-Rhône-Alpes;01;18;Saint-Étienne-du-Bois;26;22634;23103
84;Auvergne-Rhône-Alpes;01;19;Saint-Genis-Pouilly;4;38425;39206
84;Auvergne-Rhône-Alpes;01;20;Thoiry;16;29200;29959
84;Auvergne-Rhône-Alpes;01;21;Trévoux;12;34040;35008
84;Auvergne-Rhône-Alpes;01;22;Villars-les-Dombes;25;34230;34960
84;Auvergne-Rhône-Alpes;01;23;Vonnas;19;24770;25299
32;Hauts-de-France;02;01;Bohain-en-Vermandois;31;21994;22361
32;Hauts-de-France;02;02;Château-Thierry;21;27966;28555
32;Hauts-de-France;02;03;Chauny;21;23765;24425
32;Hauts-de-France;02;04;Essômes-sur-Marne;47;29169;29791
32;Hauts-de-France;02;05;Fère-en-Tardenois;77;27625;28096
32;Hauts-de-France;02;06;Villeneuve-sur-Aisne;76;26336;26911
32;Hauts-de-France;02;07;Guise;45;23060;23467
32;Hauts-de-France;02;08;Hirson;26;20889;21297
32;Hauts-de-France;02;09;Laon-1;27;24932;25461
32;Hauts-de-France;02;10;Laon-2;25;24826;25504
32;Hauts-de-France;02;11;Marle;65;19592;20054
32;Hauts-de-France;02;12;Ribemont;52;26182;26630
32;Hauts-de-France;02;13;Saint-Quentin-1;25;28824;29514
32;Hauts-de-France;02;14;Saint-Quentin-2;11;22451;23117
32;Hauts-de-France;02;15;Saint-Quentin-3;9;27276;27741
32;Hauts-de-France;02;16;Soissons-1;15;23334;23698
32;Hauts-de-France;02;17;Soissons-2;14;29556;30263
32;Hauts-de-France;02;18;Tergnier;24;29380;29916
32;Hauts-de-France;02;19;Vervins;66;21195;21928
32;Hauts-de-France;02;20;Vic-sur-Aisne;50;21051;21531
32;Hauts-de-France;02;21;Villers-Cotterêts;76;29971;30916
84;Auvergne-Rhône-Alpes;03;01;Bellerive-sur-Allier;11;19348;19900
84;Auvergne-Rhône-Alpes;03;02;Bourbon-l'Archambault;28;16683;17101
84;Auvergne-Rhône-Alpes;03;03;Commentry;24;18086;18579
84;Auvergne-Rhône-Alpes;03;04;Cusset;4;17360;17971
84;Auvergne-Rhône-Alpes;03;05;Dompierre-sur-Besbre;32;20031;20513
84;Auvergne-Rhône-Alpes;03;06;Gannat;41;19857;20341
84;Auvergne-Rhône-Alpes;03;07;Huriel;29;15774;16094
84;Auvergne-Rhône-Alpes;03;08;Lapalisse;31;17828;18321
84;Auvergne-Rhône-Alpes;03;09;Montluçon-1;4;15587;15878
84;Auvergne-Rhône-Alpes;03;10;Montluçon-2;2;15637;16256
84;Auvergne-Rhône-Alpes;03;11;Montluçon-3;15;18174;18725
84;Auvergne-Rhône-Alpes;03;12;Montluçon-4;7;16133;16489
84;Auvergne-Rhône-Alpes;03;13;Moulins-1;7;17573;18410
84;Auvergne-Rhône-Alpes;03;14;Moulins-2;23;19081;19482
84;Auvergne-Rhône-Alpes;03;15;Saint-Pourçain-sur-Sioule;22;19188;19598
84;Auvergne-Rhône-Alpes;03;16;Souvigny;29;14938;15272
84;Auvergne-Rhône-Alpes;03;17;Vichy-1;4;18935;19166
84;Auvergne-Rhône-Alpes;03;18;Vichy-2;3;18340;18647
84;Auvergne-Rhône-Alpes;03;19;Yzeure;6;17075;17712
93;Provence-Alpes-Côte d'Azur;04;01;Barcelonnette;14;7735;8064
93;Provence-Alpes-Côte d'Azur;04;02;Castellane;32;9759;9978
93;Provence-Alpes-Côte d'Azur;04;03;Château-Arnoux-Saint-Auban;8;12416;12670
93;Provence-Alpes-Côte d'Azur;04;04;Digne-les-Bains-1;7;12107;12728
