DEPP;CODCOMP;COMP;DEP;CODCOM;COM;PMUN;PCAP;PTOT
01;015;Arboys en Bugey;01;015;Arbignieu;522;12;534
01;025;Bâgé-Dommartin;01;025;Bâgé-la-Ville;3180;74;3254
01;033;Valserhône;01;033;Bellegarde-sur-Valserine;11385;233;11618
01;036;Valromey-sur-Séran;01;036;Belmont-Luthézieu;605;12;617
01;453;Arvière-en-Valromey;01;059;Brénaz;101;2;103
01;080;Champdor-Corcelles;01;080;Champdor;437;8;445
01;033;Valserhône;01;091;Châtillon-en-Michaille;3972;81;4053
01;095;Nivigne et Suran;01;095;Chavannes-sur-Suran;709;15;724
01;453;Arvière-en-Valromey;01;097;Chavornay;200;4;204
01;080;Champdor-Corcelles;01;119;Corcelles;199;8;207
01;262;Montluel;01;120;Cordieux;534;8;542
01;185;Plateau d'Hauteville;01;122;Cormaranche-en-Bugey;789;56;845
01;130;Bresse Vallons;01;130;Cras-sur-Reyssouze;1503;18;1521
01;426;Val-Revermont;01;137;Cuisiat;581;13;594
01;025;Bâgé-Dommartin;01;144;Dommartin;888;30;918
01;130;Bresse Vallons;01;154;Étrez;865;20;885
01;095;Nivigne et Suran;01;172;Germagnat;134;3;137
01;338;Groslée-Saint-Benoit;01;182;Groslée;376;8;384
01;185;Plateau d'Hauteville;01;185;Hauteville-Lompnes;3637;93;3730
01;185;Plateau d'Hauteville;01;186;Hostiaz;92;2;94
01;204;Le Poizat-Lalleyriat;01;204;Lalleyriat;257;8;265
01;033;Valserhône;01;205;Lancrans;1077;22;1099
01;215;Surjoux-Lhopital;01;215;Lhôpital;53;0;53
01;453;Arvière-en-Valromey;01;218;Lochieu;82;2;84
01;036;Valromey-sur-Séran;01;221;Lompnieu;132;1;133
01;286;Parves et Nattages;01;271;Nattages;597;24;621
01;286;Parves et Nattages;01;286;Parves;362;13;375
01;204;Le Poizat-Lalleyriat;01;300;Le Poizat;489;8;497
01;426;Val-Revermont;01;312;Pressiat;257;2;259
01;245;Bohas-Meyriat-Rignat;01;324;Rignat;264;2;266
01;338;Groslée-Saint-Benoit;01;338;Saint-Benoît;869;26;895
01;015;Arboys en Bugey;01;340;Saint-Bois;141;3;144
01;215;Surjoux-Lhopital;01;413;Surjoux;90;2;92
01;036;Valromey-sur-Séran;01;414;Sutrieu;218;4;222
01;185;Plateau d'Hauteville;01;417;Thézillieu;306;6;312
01;426;Val-Revermont;01;426;Treffort;1668;40;1708
01;036;Valromey-sur-Séran;01;442;Vieu;379;7;386
01;453;Arvière-en-Valromey;01;453;Virieu-le-Petit;329;9;338
02;018;Anizy-le-Grand;02;018;Anizy-le-Château;1957;40;1997
02;458;Dhuys et Morin-en-Brie;02;026;Artonges;170;2;172
02;053;Vallées en Champagne;02;053;Baulne-en-Brie;266;2;268
02;054;Bazoches-et-Saint-Thibaut;02;054;Bazoches-sur-Vesles;449;15;464
02;458;Dhuys et Morin-en-Brie;02;147;La Celle-sous-Montmirail;103;3;106
02;153;Cessières-Suzy;02;153;Cessières;468;11;479
02;053;Vallées en Champagne;02;161;La Chapelle-Monthodon;203;4;207
59;545;Saint-Souplet;02;285;Escaufourt;171;5;176
02;738;Tergnier;02;300;Fargniers;3373;47;3420
02;018;Anizy-le-Grand;02;301;Faucoucourt;333;7;340
02;458;Dhuys et Morin-en-Brie;02;325;Fontenelle-en-Brie;215;4;219
02;439;Les Septvallons;02;348;Glennes;224;4;228
02;360;Villeneuve-sur-Aisne;02;360;Guignicourt;2251;28;2279
02;018;Anizy-le-Grand;02;434;Lizy;297;7;304
02;439;Les Septvallons;02;439;Longueval-Barbonval;484;5;489
02;458;Dhuys et Morin-en-Brie;02;458;Marchais-en-Brie;334;5;339
02;360;Villeneuve-sur-Aisne;02;475;Menneville;529;7;536
02;439;Les Septvallons;02;479;Merval;119;1;120
02;439;Les Septvallons;02;597;Perles;96;1;97
02;738;Tergnier;02;630;Quessy;2966;42;3008
02;439;Les Septvallons;02;646;Révillon;65;1;66
02;053;Vallées en Champagne;02;669;Saint-Agnan;104;0;104
02;054;Bazoches-et-Saint-Thibaut;02;695;Saint-Thibaut;83;0;83
02;153;Cessières-Suzy;02;733;Suzy;307;10;317
02;439;Les Septvallons;02;771;Vauxcéré;86;0;86
02;439;Les Septvallons;02;811;Villers-en-Prayères;122;1;123
02;738;Tergnier;02;825;Vouël;2194;31;2225
03;158;Haut-Bocage;03;123;Givarlais;202;2;204
03;158;Haut-Bocage;03;153;Louroux-Hodement;369;5;374
03;158;Haut-Bocage;03;158;Maillet;289;8;297
03;168;Meaulne-Vitray;03;168;Meaulne;773;12;785
03;168;Meaulne-Vitray;03;318;Vitray;135;1;136
04;081;Esparron-de-Verdon;04;003;Albiosc;37;0;37
04;136;La Mure-Argens;04;010;Argens;12;0;12
04;023;Bayons;04;011;Astoin;7;0;7
04;155;Prads-Haute-Bléone;04;029;Blégiers;68;0;68
04;033;Ubaye-Serre-Ponçon;04;033;La Bréole;392;11;403
04;144;La Palud-sur-Verdon;04;052;Châteauneuf-lès-Moustiers;56;0;56
04;023;Bayons;04;082;Esparron-la-Bâtie;12;0;12
