CODREG;REG;CODDEP;CODCOM;COM;CODFRAC_CAN;FRAC_CAN;PMUN;PCAP;PTOT
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;05;Bourg-en-Bresse-1;28834;1068;29902
84;Auvergne-Rhône-Alpes;01;053;Bourg-en-Bresse;06;Bourg-en-Bresse-2;12847;614;13461
32;Hauts-de-France;02;408;Laon;09;Laon-1;8681;170;8851
32;Hauts-de-France;02;408;Laon;10;Laon-2;15410;477;15887
32;Hauts-de-France;02;691;Saint-Quentin;13;Saint-Quentin-1;19055;461;19516
32;Hauts-de-France;02;691;Saint-Quentin;14;Saint-Quentin-2;17908;517;18425
32;Hauts-de-France;02;691;Saint-Quentin;15;Saint-Quentin-3;16137;269;16406
32;Hauts-de-France;02;722;Soissons;16;Soissons-1;11149;172;11321
32;Hauts-de-France;02;722;Soissons;17;Soissons-2;17739;483;18222
84;Auvergne-Rhône-Alpes;03;185;Montluçon;09;Montluçon-1;3629;56;3685
84;Auvergne-Rhône-Alpes;03;185;Montluçon;10;Montluçon-2;11172;519;11691
84;Auvergne-Rhône-Alpes;03;185;Montluçon;11;Montluçon-3;9591;230;9821
84;Auvergne-Rhône-Alpes;03;185;Montluçon;12;Montluçon-4;9430;241;9671
84;Auvergne-Rhône-Alpes;03;190;Moulins;13;Moulins-1;10456;374;10830
84;Auvergne-Rhône-Alpes;03;190;Moulins;14;Moulins-2;8988;179;9167
84;Auvergne-Rhône-Alpes;03;310;Vichy;17;Vichy-1;12485;119;12604
84;Auvergne-Rhône-Alpes;03;310;Vichy;18;Vichy-2;12887;189;13076
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;04;Digne-les-Bains-1;10427;580;11007
93;Provence-Alpes-Côte d'Azur;04;070;Digne-les-Bains;05;Digne-les-Bains-2;6437;360;6797
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;07;Manosque-1;8556;127;8683
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;08;Manosque-2;6801;210;7011
93;Provence-Alpes-Côte d'Azur;04;112;Manosque;09;Manosque-3;7661;334;7995
93;Provence-Alpes-Côte d'Azur;05;023;Briançon;02;Briançon-1;2014;46;2060
93;Provence-Alpes-Côte d'Azur;05;023;Briançon;03;Briançon-2;8766;269;9035
93;Provence-Alpes-Côte d'Azur;05;061;Gap;06;Gap-1;10342;240;10582
93;Provence-Alpes-Côte d'Azur;05;061;Gap;07;Gap-2;10082;571;10653
93;Provence-Alpes-Côte d'Azur;05;061;Gap;08;Gap-3;10195;227;10422
93;Provence-Alpes-Côte d'Azur;05;061;Gap;09;Gap-4;9492;379;9871
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;01;Antibes-1;11366;122;11488
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;02;Antibes-2;30264;282;30546
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;03;Antibes-3;26979;406;27385
93;Provence-Alpes-Côte d'Azur;06;027;Cagnes-sur-Mer;05;Cagnes-sur-Mer-1;43372;351;43723
93;Provence-Alpes-Côte d'Azur;06;027;Cagnes-sur-Mer;06;Cagnes-sur-Mer-2;8728;124;8852
93;Provence-Alpes-Côte d'Azur;06;030;Le Cannet;07;Cannes-1;14341;137;14478
93;Provence-Alpes-Côte d'Azur;06;029;Cannes;07;Cannes-1;33345;260;33605
93;Provence-Alpes-Côte d'Azur;06;029;Cannes;08;Cannes-2;39090;464;39554
93;Provence-Alpes-Côte d'Azur;06;030;Le Cannet;09;Le Cannet;27784;262;28046
93;Provence-Alpes-Côte d'Azur;06;069;Grasse;11;Grasse-1;19170;298;19468
93;Provence-Alpes-Côte d'Azur;06;069;Grasse;12;Grasse-2;29538;601;30139
93;Provence-Alpes-Côte d'Azur;06;088;Nice;15;Nice-1;42535;411;42946
93;Provence-Alpes-Côte d'Azur;06;088;Nice;16;Nice-2;48261;389;48650
93;Provence-Alpes-Côte d'Azur;06;088;Nice;17;Nice-3;25577;234;25811
93;Provence-Alpes-Côte d'Azur;06;088;Nice;18;Nice-4;41430;386;41816
93;Provence-Alpes-Côte d'Azur;06;088;Nice;19;Nice-5;45583;278;45861
93;Provence-Alpes-Côte d'Azur;06;088;Nice;20;Nice-6;41294;620;41914
93;Provence-Alpes-Côte d'Azur;06;088;Nice;21;Nice-7;25699;135;25834
93;Provence-Alpes-Côte d'Azur;06;088;Nice;22;Nice-8;39610;169;39779
93;Provence-Alpes-Côte d'Azur;06;088;Nice;23;Nice-9;33488;277;33765
93;Provence-Alpes-Côte d'Azur;06;004;Antibes;25;Valbonne;6100;260;6360
84;Auvergne-Rhône-Alpes;07;010;Annonay;01;Annonay-1;9661;372;10033
84;Auvergne-Rhône-Alpes;07;010;Annonay;02;Annonay-2;6698;231;6929
84;Auvergne-Rhône-Alpes;07;019;Aubenas;03;Aubenas-1;7101;414;7515
84;Auvergne-Rhône-Alpes;07;019;Aubenas;04;Aubenas-2;5302;360;5662
44;Grand Est;08;105;Charleville-Mézières;04;Charleville-Mézières-1;10083;177;10260
44;Grand Est;08;105;Charleville-Mézières;05;Charleville-Mézières-2;8899;180;9079
44;Grand Est;08;105;Charleville-Mézières;06;Charleville-Mézières-3;14205;521;14726
44;Grand Est;08;105;Charleville-Mézières;07;Charleville-Mézières-4;13201;167;13368
44;Grand Est;08;409;Sedan;14;Sedan-1;5417;155;5572
44;Grand Est;08;409;Sedan;15;Sedan-2;4902;126;5028
44;Grand Est;08;409;Sedan;16;Sedan-3;6057;73;6130
76;Occitanie;09;225;Pamiers;07;Pamiers-1;5822;139;5961
76;Occitanie;09;225;Pamiers;08;Pamiers-2;10116;344;10460
44;Grand Est;10;387;Troyes;12;Troyes-1;20813;314;21127
44;Grand Est;10;387;Troyes;13;Troyes-2;7209;57;7266
44;Grand Est;10;387;Troyes;14;Troyes-3;9000;359;9359
44;Grand Est;10;387;Troyes;15;Troyes-4;6780;23;6803
44;Grand Est;10;387;Troyes;16;Troyes-5;18795;358;19153
76;Occitanie;11;069;Carcassonne;02;Carcassonne-1;14774;440;15214
76;Occitanie;11;069;Carcassonne;03;Carcassonne-2;14567;452;15019
76;Occitanie;11;069;Carcassonne;04;Carcassonne-3;17332;289;17621
76;Occitanie;11;262;Narbonne;11;Narbonne-1;21513;318;21831
76;Occitanie;11;262;Narbonne;12;Narbonne-2;16197;466;16663
76;Occitanie;11;262;Narbonne;13;Narbonne-3;18413;413;18826
76;Occitanie;12;145;Millau;11;Millau-1;11170;465;11635
76;Occitanie;12;145;Millau;12;Millau-2;10312;231;10543
76;Occitanie;12;202;Rodez;16;Rodez-1;12193;958;13151
76;Occitanie;12;202;Rodez;17;Rodez-2;10075;872;10947
76;Occitanie;12;202;Rodez;18;Rodez-Onet;2129;39;2168
93;Provence-Alpes-Côte d'Azur;13;001;Aix-en-Provence;01;Aix-en-Provence-1;73304;2096;75400
93;Provence-Alpes-Côte d'Azur;13;001;Aix-en-Provence;02;Aix-en-Provence-2;73818;1140;74958
93;Provence-Alpes-Côte d'Azur;13;204;Marseille 4e Arrondissement;12;Marseille-1;24291;202;24493
93;Provence-Alpes-Côte d'Azur;13;205;Marseille 5e Arrondissement;12;Marseille-1;5866;35;5901
93;Provence-Alpes-Côte d'Azur;13;203;Marseille 3e Arrondissement;12;Marseille-1;5878;9;5887
93;Provence-Alpes-Côte d'Azur;13;203;Marseille 3e Arrondissement;13;Marseille-2;46399;150;46549
93;Provence-Alpes-Côte d'Azur;13;215;Marseille 15e Arrondissement;14;Marseille-3;48153;172;48325
93;Provence-Alpes-Côte d'Azur;13;215;Marseille 15e Arrondissement;15;Marseille-4;30939;99;31038
93;Provence-Alpes-Côte d'Azur;13;214;Marseille 14e Arrondissement;15;Marseille-4;29009;114;29123
93;Provence-Alpes-Côte d'Azur;13;213;Marseille 13e Arrondissement;16;Marseille-5;19314;235;19549
93;Provence-Alpes-Côte d'Azur;13;214;Marseille 14e Arrondissement;16;Marseille-5;31959;140;32099
93;Provence-Alpes-Côte d'Azur;13;204;Marseille 4e Arrondissement;16;Marseille-5;17306;68;17374
