"ANNEE";"AGE";"SEXE";"POP"
"2013";0;"M";4019
"2013";0;"F";3815
"2013";1;"M";4010
"2013";1;"F";3973
"2013";2;"M";4221
"2013";2;"F";4100
"2013";3;"M";4220
"2013";3;"F";4080
"2013";4;"M";4353
"2013";4;"F";4144
"2013";5;"M";4515
"2013";5;"F";4155
"2013";6;"M";4379
"2013";6;"F";4167
"2013";7;"M";4404
"2013";7;"F";4264
"2013";8;"M";4388
"2013";8;"F";4233
"2013";9;"M";4489
"2013";9;"F";4240
"2013";10;"M";4439
"2013";10;"F";4152
"2013";11;"M";4361
"2013";11;"F";4107
"2013";12;"M";4376
"2013";12;"F";4163
"2013";13;"M";4323
"2013";13;"F";4217
"2013";14;"M";4250
"2013";14;"F";4250
"2013";15;"M";4190
"2013";15;"F";4089
"2013";16;"M";4260
"2013";16;"F";3953
"2013";17;"M";4104
"2013";17;"F";3911
"2013";18;"M";3346
"2013";18;"F";3192
"2013";19;"M";3159
"2013";19;"F";2872
"2013";20;"M";3150
"2013";20;"F";2741
"2013";21;"M";3033
"2013";21;"F";2809
"2013";22;"M";3102
"2013";22;"F";2815
"2013";23;"M";3241
"2013";23;"F";2926
"2013";24;"M";3310
"2013";24;"F";3094
"2013";25;"M";3348
"2013";25;"F";3242
"2013";26;"M";3360
"2013";26;"F";3420
"2013";27;"M";3461
"2013";27;"F";3493
"2013";28;"M";3605
"2013";28;"F";3642
"2013";29;"M";3740
"2013";29;"F";3840
"2013";30;"M";3901
"2013";30;"F";3858
"2013";31;"M";4004
"2013";31;"F";3834
"2013";32;"M";3939
"2013";32;"F";3892
"2013";33;"M";4011
"2013";33;"F";4179
"2013";34;"M";3965
"2013";34;"F";4113
"2013";35;"M";3939
"2013";35;"F";4023
"2013";36;"M";3970
"2013";36;"F";4109
"2013";37;"M";4169
"2013";37;"F";4160
"2013";38;"M";4488
"2013";38;"F";4371
"2013";39;"M";4532
"2013";39;"F";4547
"2013";40;"M";4725
"2013";40;"F";4623
"2013";41;"M";4688
"2013";41;"F";4742
"2013";42;"M";4789
"2013";42;"F";4797
"2013";43;"M";4780
"2013";43;"F";4626
"2013";44;"M";4686
"2013";44;"F";4582
"2013";45;"M";4604
"2013";45;"F";4662
"2013";46;"M";4683
"2013";46;"F";4568
"2013";47;"M";4697
"2013";47;"F";4550
"2013";48;"M";4514
"2013";48;"F";4574
"2013";49;"M";4596
"2013";49;"F";4614
