CODREG;REG;NBARR;NBCAN;NBCOM;PMUN;PTOT
01;Guadeloupe;2;21;32;383559;388727
02;Martinique;4;NA;34;361225;365734
03;Guyane;2;NA;22;285133;287355
04;La Réunion;4;25;24;863083;872635
11;Île-de-France;25;155;1268;12271794;12384734
24;Centre-Val de Loire;20;102;1757;2574863;2632683
27;Bourgogne-Franche-Comté;24;152;3700;2801695;2874404
28;Normandie;17;131;2652;3325522;3396314
32;Hauts-de-France;26;145;3788;5997734;6088410
44;Grand Est;38;200;5121;5562651;5668492
52;Pays de la Loire;16;107;1235;3832120;3922846
53;Bretagne;15;102;1207;3373835;3463439
75;Nouvelle-Aquitaine;41;258;4309;6033952;6171721
76;Occitanie;36;249;4454;5973969;6097513
84;Auvergne-Rhône-Alpes;39;241;4029;8078652;8250506
93;Provence-Alpes-Côte d'Azur;18;126;946;5098666;5174034
94;Corse;5;26;360;343701;348760
