"ANNEE";"AGE";"SEXE";"POP"
"2013";0;"M";3349
"2013";0;"F";3171
"2013";1;"M";3493
"2013";1;"F";3285
"2013";2;"M";3590
"2013";2;"F";3355
"2013";3;"M";3519
"2013";3;"F";3346
"2013";4;"M";3520
"2013";4;"F";3264
"2013";5;"M";3435
"2013";5;"F";3525
"2013";6;"M";3675
"2013";6;"F";3368
"2013";7;"M";3600
"2013";7;"F";3475
"2013";8;"M";3639
"2013";8;"F";3458
"2013";9;"M";3593
"2013";9;"F";3462
"2013";10;"M";3671
"2013";10;"F";3466
"2013";11;"M";3780
"2013";11;"F";3650
"2013";12;"M";3679
"2013";12;"F";3445
"2013";13;"M";3673
"2013";13;"F";3529
"2013";14;"M";3639
"2013";14;"F";3591
"2013";15;"M";3482
"2013";15;"F";3552
"2013";16;"M";3570
"2013";16;"F";3403
"2013";17;"M";3521
"2013";17;"F";3197
"2013";18;"M";3353
"2013";18;"F";2793
"2013";19;"M";3007
"2013";19;"F";2763
"2013";20;"M";2979
"2013";20;"F";2760
"2013";21;"M";2843
"2013";21;"F";2661
"2013";22;"M";2710
"2013";22;"F";2834
"2013";23;"M";2885
"2013";23;"F";2769
"2013";24;"M";2981
"2013";24;"F";2884
"2013";25;"M";2881
"2013";25;"F";3050
"2013";26;"M";3027
"2013";26;"F";2972
"2013";27;"M";3108
"2013";27;"F";3142
"2013";28;"M";3106
"2013";28;"F";3054
"2013";29;"M";3080
"2013";29;"F";3233
"2013";30;"M";3146
"2013";30;"F";3171
"2013";31;"M";3222
"2013";31;"F";3297
"2013";32;"M";3069
"2013";32;"F";3253
"2013";33;"M";3302
"2013";33;"F";3186
"2013";34;"M";3168
"2013";34;"F";3050
"2013";35;"M";2962
"2013";35;"F";3023
"2013";36;"M";3220
"2013";36;"F";3197
"2013";37;"M";3223
"2013";37;"F";3368
"2013";38;"M";3228
"2013";38;"F";3438
"2013";39;"M";3621
"2013";39;"F";3620
"2013";40;"M";3578
"2013";40;"F";3556
"2013";41;"M";3669
"2013";41;"F";3682
"2013";42;"M";3640
"2013";42;"F";3719
"2013";43;"M";3660
"2013";43;"F";3569
"2013";44;"M";3614
"2013";44;"F";3701
"2013";45;"M";3601
"2013";45;"F";3578
"2013";46;"M";3694
"2013";46;"F";3600
"2013";47;"M";3632
"2013";47;"F";3749
"2013";48;"M";3801
"2013";48;"F";3855
"2013";49;"M";3512
"2013";49;"F";3814
"2013";50;"M";3792
"2013";50;"F";3748
"2013";51;"M";3712
"2013";51;"F";3783
"2013";52;"M";3716
"2013";52;"F";3728
"2013";53;"M";3709
"2013";53;"F";3716
"2013";54;"M";3636
"2013";54;"F";3698
"2013";55;"M";3740
"2013";55;"F";3850
"2013";56;"M";3549
"2013";56;"F";3753
"2013";57;"M";3697
"2013";57;"F";3682
"2013";58;"M";3657
"2013";58;"F";3773
"2013";59;"M";3698
"2013";59;"F";3669
"2013";60;"M";3538
"2013";60;"F";3656
"2013";61;"M";3739
"2013";61;"F";3832
"2013";62;"M";3763
"2013";62;"F";3735
"2013";63;"M";3581
"2013";63;"F";3559
"2013";64;"M";3554
"2013";64;"F";3690
"2013";65;"M";3095
"2013";65;"F";3419
"2013";66;"M";2797
"2013";66;"F";3031
"2013";67;"M";2493
"2013";67;"F";2689
"2013";68;"M";2236
"2013";68;"F";2415
"2013";69;"M";1858
"2013";69;"F";2132
"2013";70;"M";1737
"2013";70;"F";2105
"2013";71;"M";1904
"2013";71;"F";1982
"2013";72;"M";1661
"2013";72;"F";2027
"2013";73;"M";1582
"2013";73;"F";2058
"2013";74;"M";1630
"2013";74;"F";2090
"2013";75;"M";1568
"2013";75;"F";2168
"2013";76;"M";1591
"2013";76;"F";2201
"2013";77;"M";1598
"2013";77;"F";2224
"2013";78;"M";1457
"2013";78;"F";2179
"2013";79;"M";1391
"2013";79;"F";2256
"2013";80;"M";1397
"2013";80;"F";2255
"2013";81;"M";1307
"2013";81;"F";2189
"2013";82;"M";1253
"2013";82;"F";2009
"2013";83;"M";1073
"2013";83;"F";1906
"2013";84;"M";985
"2013";84;"F";1681
"2013";85;"M";838
"2013";85;"F";1628
"2013";86;"M";713
"2013";86;"F";1557
"2013";87;"M";635
"2013";87;"F";1401
"2013";88;"M";533
"2013";88;"F";1230
"2013";89;"M";450
"2013";89;"F";1060
"2013";90;"M";382
"2013";90;"F";936
"2013";91;"M";246
"2013";91;"F";777
"2013";92;"M";177
"2013";92;"F";536
"2013";93;"M";102
"2013";93;"F";377
"2013";94;"M";64
"2013";94;"F";232
"2013";95;"M";29
"2013";95;"F";140
"2013";96;"M";29
"2013";96;"F";126
"2013";97;"M";16
"2013";97;"F";80
"2013";98;"M";17
"2013";98;"F";78
"2013";99;"M";33
"2013";99;"F";186
"2014";0;"M";3231
"2014";0;"F";3038
"2014";1;"M";3393
"2014";1;"F";3217
"2014";2;"M";3512
"2014";2;"F";3361
"2014";3;"M";3477
"2014";3;"F";3383
"2014";4;"M";3508
"2014";4;"F";3322
"2014";5;"M";3384
"2014";5;"F";3419
"2014";6;"M";3708
"2014";6;"F";3352
"2014";7;"M";3628
"2014";7;"F";3574
"2014";8;"M";3630
"2014";8;"F";3434
"2014";9;"M";3595
"2014";9;"F";3409
"2014";10;"M";3593
"2014";10;"F";3444
"2014";11;"M";3682
"2014";11;"F";3619
"2014";12;"M";3739
"2014";12;"F";3445
"2014";13;"M";3657
"2014";13;"F";3573
"2014";14;"M";3674
"2014";14;"F";3620
"2014";15;"M";3552
"2014";15;"F";3624
