"Code","Primary Role Name","Geographic Local Authority Name"
"DMT01","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"DMT02","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"DMV01","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTHEND-ON-SEA BOROUGH COUNCIL"
"AJ614","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTH TYNESIDE COUNCIL"
"NY6L2","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"DMT03","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"DMT04","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"DMT05","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"DMT06","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"DMT07","INDEPENDENT SECTOR H/C PROVIDER SITE","BUCKINGHAMSHIRE COUNCIL"
"NCR05","INDEPENDENT SECTOR H/C PROVIDER SITE","SEFTON METROPOLITAN BOROUGH COUNCIL"
"NYNW5","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF NEWHAM"
"NYNW6","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTH TYNESIDE COUNCIL"
"NYNW7","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"NYNW8","INDEPENDENT SECTOR H/C PROVIDER SITE","CENTRAL BEDFORDSHIRE COUNCIL"
"AAV23","INDEPENDENT SECTOR H/C PROVIDER SITE","BLACKPOOL BOROUGH COUNCIL"
"NCNDR","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST RIDING OF YORKSHIRE COUNCIL"
"NCNFH","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST RIDING OF YORKSHIRE COUNCIL"
"DMX01","INDEPENDENT SECTOR H/C PROVIDER SITE","GLOUCESTERSHIRE COUNTY COUNCIL"
"DMY01","INDEPENDENT SECTOR H/C PROVIDER SITE","GLOUCESTERSHIRE COUNTY COUNCIL"
"NBGK3","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAM CITY COUNCIL"
"DN001","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF CAMDEN"
"NXX2I","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NXX2O","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTH TYNESIDE COUNCIL"
"NXX2S","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTH TYNESIDE COUNCIL"
"NXX2U","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NXX2Y","INDEPENDENT SECTOR H/C PROVIDER SITE","LANCASHIRE COUNTY COUNCIL"
"NXX3A","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"NXX3B","INDEPENDENT SECTOR H/C PROVIDER SITE","BLACKBURN WITH DARWEN BOROUGH COUNCIL"
"NXX3C","INDEPENDENT SECTOR H/C PROVIDER SITE","LANCASHIRE COUNTY COUNCIL"
"DN401","INDEPENDENT SECTOR H/C PROVIDER SITE","READING BOROUGH COUNCIL"
"NXX3D","INDEPENDENT SECTOR H/C PROVIDER SITE","CENTRAL BEDFORDSHIRE COUNCIL"
"ATP02","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"ATP03","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"ATP04","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"ATP05","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"ATP06","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"ATP07","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"ATP08","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"ATP09","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"NFB18","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"NFB19","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
