"Code","Geographic Local Authority Code","Geographic Local Authority Name"
"00L","104","NORTHUMBERLAND COUNTY COUNCIL"
"00N","109","SOUTH TYNESIDE COUNCIL"
"00P","110","SUNDERLAND CITY COUNCIL"
"00Q","324","BLACKBURN WITH DARWEN BOROUGH COUNCIL"
"00R","325","BLACKPOOL BOROUGH COUNCIL"
"00T","304","BOLTON METROPOLITAN BOROUGH COUNCIL"
"00V","305","BURY METROPOLITAN BOROUGH COUNCIL"
"00X","323","LANCASHIRE COUNTY COUNCIL"
"00Y","307","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"01A","323","LANCASHIRE COUNTY COUNCIL"
"01D","308","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"01E","323","LANCASHIRE COUNTY COUNCIL"
"01F","321","HALTON BOROUGH COUNCIL"
"01G","309","SALFORD CITY COUNCIL"
"01H","H6X4G","CUMBERLAND COUNCIL"
"01J","315","KNOWSLEY METROPOLITAN BOROUGH COUNCIL"
"01K","323","LANCASHIRE COUNTY COUNCIL"
"01T","317","SEFTON METROPOLITAN BOROUGH COUNCIL"
"01V","317","SEFTON METROPOLITAN BOROUGH COUNCIL"
"01W","310","STOCKPORT METROPOLITAN BOROUGH COUNCIL"
"01X","318","ST HELENS COUNCIL"
"01Y","311","TAMESIDE METROPOLITAN BOROUGH COUNCIL"
"02A","312","TRAFFORD METROPOLITAN BOROUGH COUNCIL"
"02E","322","WARRINGTON BOROUGH COUNCIL"
"02G","323","LANCASHIRE COUNTY COUNCIL"
"02H","313","WIGAN METROPOLITAN BOROUGH COUNCIL"
"02M","325","BLACKPOOL BOROUGH COUNCIL"
"02P","204","BARNSLEY METROPOLITAN BOROUGH COUNCIL"
"02Q","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"02T","210","CALDERDALE METROPOLITAN BOROUGH COUNCIL"
"02X","205","DONCASTER METROPOLITAN BOROUGH COUNCIL"
"02Y","214","EAST RIDING OF YORKSHIRE COUNCIL"
"03A","211","KIRKLEES COUNCIL"
"03F","215","HULL CITY COUNCIL"
